Company,Year Founded,Total Raised,HQ Country,Last Financing Date,Last Financing Deal Type,Last Financing Size,Revenue
Manual,2018,28.78,United Kingdom,30-Mar-2021,Early Stage VC,21.63,
Tabeo,2017,2.23,United Kingdom,07-May-2020,Early Stage VC,1.84,
Dietary Assessment,2017,0.49,United Kingdom,23-Dec-2020,Early Stage VC,0.32,
Clin-e-Cal,2014,0.48,United Kingdom,09-0ct-2020,Equity Crowdfunding,0.13,
Age Curve,2015,0.13,United Kingdom,04-May-2020,Seed Round,0.13,
Doctify,2014,15.01,United Kingdom,13-Apr-2021,Later Stage VC,5.46,
GPDQ,2015,3.65,United Kingdom,16-Apr-2020,Early Stage VC,2.43,
GripAble,2016,3.54,United Kingdom,Expected      30-Sep-2021,Early Stage VC,,
Hearing Diagnostics,2017,0.72,United Kingdom,01-Feb-2021,Grant,0.11,
MIME Technologies,2015,0.26,United Kingdom,23-Mar-2021,Later Stage VC,,
Numan,2018,12.53,United Kingdom,01-Feb-2020,Early Stage VC,10.29,
Osler Diagnostics,2016,70.57,United Kingdom,20-NOV-2020,Early Stage VC,34.95,0
Peppy,2018,2.16,United Kingdom,11-Jun-2020,Seed Round,1.95,
SharpTx,2019,2.1,United Kingdom,01-Jan-2020,Early Stage VC,2.1,
Vital Signs Solutions,2015,0.76,United Kingdom,18-Aug-2020,Grant,0.03,
Vitrue Health,2017,0.36,United Kingdom,,Seed Round,,
eConsult,2011,12.6,United Kingdom,05-Feb-2021,Later Stage VC,7,
InfinityHealth,2013,1.6,United Kingdom,18-Aug-2020,Corporate,,
Kalium Health,2018,0.98,United Kingdom,21-Feb-2020,Seed Round,0.98,
Log my Care,2017,0.94,United Kingdom,30-Jun-2020,Early Stage VC,0.61,
LumiraDx,2014,864.11,United Kingdom,07-Apr-2021,Reverse Merg...,,
Mynurva,2017,1.12,United Kingdom,01-Dec-2020,Early Stage VC,0.64,
Perspectum,2012,47.08,United Kingdom,17-Mar-2020,Later Stage VC,27.47,
Pill Connect,2013,1.23,United Kingdom,02-NOV-2020,Later Stage VC,0.52,
Push Doctor,2013,51.25,United Kingdom,25-Oct-2020,Later Stage VC,13.7,
Sphere Fluidics,2010,20,United Kingdom,30-Apr-2020,Debt - General,1.17,
The GP Service,2014,2.53,United Kingdom,30-Mar-2020,Equity Crowdfunding,0.91,
Thriva (Managed Care),2015,11.95,United Kingdom,23-May-2020,Early Stage VC,10,
uMotif,2012,7.92,United Kingdom,03-Sep-2020,Later Stage VC,5.04,
Kokoon,2013,5.1,United Kingdom,05-Aug-2020,Later Stage VC,1.4,
BrainBerry,2015,,United Kingdom,23-Jul-2020,Grant,0.09,
Cumulus Neuroscience,2015,11.35,United Kingdom,04-May-2021,Later Stage VC,6,
NoBACZ Healthcare,2019,1.09,United Kingdom,30-NOV-2020,Early Stage VC,1.09,
SurgiQ,2016,0.8,United Kingdom,28-Jan-2021,Seed Round,0.37,
Gen inCode,2018,3.4,United Kingdom,01-Jul-2020,Early Stage VC,3,0.96
Kinomica,2016,4.39,United Kingdom,08-Dec-2020,Early Stage VC,3.88,0.17
Linear Diagnostics,2011,5.8,United Kingdom,24-Feb-2021,Later Stage VC,0.8,
ZOE,2017,39.73,United Kingdom,04-May-2021,Early Stage VC,14.46,
Hero (Other Healthcare Services),2017,1.22,United Kingdom,18-Dec-2020,Early Stage VC,0.83,
Suvera,2016,,United Kingdom,04-Apr-2020,Seed Round,,
MindLabs,2020,1.4,United Kingdom,21-Oct-2020,Seed Round,1.4,
Forth (Laboratory Services),2014,0.62,United Kingdom,,Equity Crowdfunding,,
Vinehealth,2018,1.21,United Kingdom,19-Feb-2021,Grant,1,
Unmind,2016,46.28,United Kingdom,12-May-2021,Early Stage VC,33.83,
Overwatch Research,2017,0.15,United Kingdom,03-Apr-2020,Early Stage VC,0.14,
Tictrac,2010,13.82,United Kingdom,20-Mar-2020,Later Stage VC,13.67,
KYMIRA,2013,3.04,United Kingdom,17-Feb-2020,Later Stage VC,0.41,
NURVV,2015,25,United Kingdom,24-Apr-2021,Later Stage VC,18.11,0.48
Alicia,2017,,United Kingdom,29-Jun-2020,Early Stage VC,,
Aloha65,2019,0.69,United Kingdom,03-Sep-2020,Early Stage VC,0.18,
Armallrto,2015,0.3,United Kingdom,01-Jan-2020,Equity Crowdfunding,,
Bedfolk,2017,1.34,United Kingdom,28-Apr-2021,Early Stage VC,0.94,
Bellfield Brewery,2014,0.63,United Kingdom,29-Jan-2020,Later Stage VC,0.45,
Blockhead,2014,1.74,United Kingdom,20-Mar-2020,Early Stage VC,0.64,
Boatyard Distillery,2013,1.06,United Kingdom,12-May-2020,Later Stage VC,0.71,
Bol Foods,2015,5.5,United Kingdom,16-Feb-2020,Early Stage VC,4.5,
Brave,2016,0.76,United Kingdom,27-Jan-2020,Early Stage VC,0.56,
Burleigh's,2014,0.25,United Kingdom,22-Feb-2021,Later Stage VC,0.25,
Castore,2015,13.25,United Kingdom,19-May-2021,Angel,,37
Cudoni,2015,6.65,United Kingdom,26-Oct-2020,Later Stage VC,4.58,
Dafni,2012,,United Kingdom,01-Jan-2020,Later Stage VC,,
Dai,2016,0.82,United Kingdom,06-Apr-2020,Early Stage VC,,
Easyguide,2017,0.52,United Kingdom,Expected      01-Dec-2021,Early Stage VC,,
Fenton & Co.,2017,1.65,United Kingdom,04-Feb-2020,Seed Round,0.85,
Floom,2015,5.09,United Kingdom,07-Apr-2020,Seed Round,2.85,
Footy.com,2015,1.63,United Kingdom,07-Apr-2020,Early Stage VC,1.63,
Gilda & Pearl,2011,1.87,United Kingdom,03-Mar-2020,Later Stage VC,0.25,
Go Banana,2015,0.99,United Kingdom,12-Apr-2021,Seed Round,0.55,
Gunna,2015,1.47,United Kingdom,22-Sep-2020,Early Stage VC,0.7,
Hackney Gelato,2015,1.12,United Kingdom,27-Apr-2020,Early Stage VC,1.12,
Haru,2017,0.32,United Kingdom,19-Dec-2020,Early Stage VC,0.22,
Heroes Technology,2020,,United Kingdom,10-NOV-2020,Seed Round,50,
Hill & Friends,2014,2,United Kingdom,24-Apr-2020,Later Stage VC,0.45,
Hurricane Modular Commerce,2016,6.92,United Kingdom,,Early Stage VC,3,
Kick Game,2013,2.5,United Kingdom,26-May-2020,Later Stage VC,2.5,
KIDLY,2016,5.15,United Kingdom,11-Sep-2020,Early Stage VC,4.2,
Lazy Flora,2016,0.52,United Kingdom,,Seed Round,,0.01
LogistCompare,2017,0.06,United Kingdom,17-Mar-2020,Early Stage VC,0.06,
Mahabis,2014,2.87,United Kingdom,01-Jan-2020,Later Stage VC,0.43,
Medino (Internet Retail),2017,6.96,United Kingdom,19-0ct-2020,Early Stage VC,5.61,
Molzi,2013,0.22,United Kingdom,25-Jun-2020,Later Stage VC,,
My Bespoke Room,2013,2.2,United Kingdom,16-Dec-2020,Later Stage VC,0.81,
Nc'Nean,2012,6.6,United Kingdom,01-Mar-2020,Later Stage VC,1.75,
Nix & Kix,2014,2.42,United Kingdom,08-Mar-2021,Equity Crowdfunding,0.82,
NOVELTEA,2016,2.19,United Kingdom,01-Dec-2020,Early Stage VC,1.4,
Olivia & Pearl,2016,0.45,United Kingdom,09-NOV-2020,Seed Round,0.45,
Patch (Home Furnishings),2015,8.93,United Kingdom,28-Feb-2020,Early Stage VC,3.03,
Petalon,2014,,United Kingdom,12-Mar-2020,Equity Crowdfunding,0.09,
Reflaunt,2017,1.97,United Kingdom,16-Feb-2021,Seed Round,1.97,
RoomLab,2016,0.76,United Kingdom,31-Mar-2020,Early Stage VC,0.3,
Shopper.com,2015,16.14,United Kingdom,11-Mar-2021,Later Stage VC,15.62,
Shore (Food Products),2015,1.7,United Kingdom,29-Jun-2020,Early Stage VC,1.7,
SunGod,2013,1.55,United Kingdom,08-Jan-2021,Later Stage VC,1.55,
Tengri,2013,0.53,United Kingdom,01-Jun-2020,Grant,1.2,
TheVeganKind,2013,3.5,United Kingdom,08-Apr-2021,Later Stage VC,3.5,
TransferTribe,2019,0.26,United Kingdom,01-Jan-2020,Early Stage VC,0.26,
Trouva,2013,30.32,United Kingdom,17-Dec-2020,Later Stage VC,3.27,
Wild Cosmetics,2019,2.6,United Kingdom,15-Sep-2020,Seed Round,2,
Mrs Wordsmith,2015,13.64,United Kingdom,12-Feb-2020,Early Stage VC,2.32,
Smartella,2018,0.32,United Kingdom,28-Apr-2020,Accelerator/Incubator,,
Filisiaa,2014,0.8,United Kingdom,30-JUI-2020,Later Stage VC,0.46,
Raven (Clothing),2013,1.05,United Kingdom,27-Apr-2020,Seed Round,1.05,
Ohne,2017,0.89,United Kingdom,12-0ct-2020,Early Stage VC,0.8,
Vyne Technologies,2018,3.67,United Kingdom,27-Oct-2020,Seed Round,3,
Propio,2016,1.05,United Kingdom,28-Aug-2020,Grant,0.28,
Doisy & Dam,2012,1.42,United Kingdom,05-Aug-2020,Later Stage VC,0.33,
Good Club,2016,0.9,United Kingdom,Expected      30-Jun-2021,Early Stage VC,,
Oily's,2015,0.91,United Kingdom,05-0ct-2020,Early Stage VC,0.52,
Supper,2014,7.66,United Kingdom,05-Jan-2021,Later Stage VC,5,
THIS,2017,6.27,United Kingdom,06-Aug-2020,Equity Crowdfunding,4.48,6.32
Wild Radish,2016,0.31,United Kingdom,05-NOV-2020,Early Stage VC,0.16,
Little Tummy,2017,1.04,United Kingdom,23-Jul-2020,Seed Round,,
Misfits,2016,1,United Kingdom,25-Feb-2020,Early Stage VC,0.7,
Quinola,2011,1.53,United Kingdom,22-May-2020,Later Stage VC,1.04,2
Real Handful,2013,0.96,United Kingdom,09-Mar-2020,Later Stage VC,0.16,
AllPlants,2016,12.8,United Kingdom,08-0ct-2020,Early Stage VC,,
Weezy,2020,15.79,United Kingdom,14-Jan-2021,Early Stage VC,14.79,
MilkStrip,2017,,United Kingdom,20-0ct-2020,Accelerator/Incubator,,
HelioPrint,2013,2.46,United Kingdom,02-Jun-2020,Later Stage VC,,
Live Better With,2015,10.48,United Kingdom,06-Feb-2020,Early Stage VC,,
Feel,2015,5.86,United Kingdom,20-Apr-2021,Later Stage VC,4.4,
Neat (Beverages),2015,1.46,United Kingdom,27-Jun-2020,Equity Crowdfunding,0.17,
One Planet Pizza,2009,0.44,United Kingdom,21-Jan-2021,Later Stage VC,0.36,
Smol,2017,40.7,United Kingdom,08-Apr-2021,Early Stage VC,24.7,
ugly,2015,4.28,United Kingdom,11-Mar-2021,Later Stage VC,0.02,8
Dash Water,2017,3.84,United Kingdom,03-Jan-2020,Early Stage VC,1.57,
LoveRaw,2013,1.44,United Kingdom,07-Jan-2020,Later Stage VC,1.2,
Lyma,2017,2,United Kingdom,22-Sep-2020,Early Stage VC,1,
Firetree,2016,1.64,United Kingdom,09-Feb-2021,Debt - General,0.25,
Asap Water Crafts,2011,0.2,United Kingdom,30-Mar-2020,Equity Crowdfunding,0.15,
Bakedin,2013,1.14,United Kingdom,01-Jul-2020,Later Stage VC,0.69,
Five Dot Botanies,2019,0.2,United Kingdom,01-Apr-2021,Early Stage VC,0.09,
Lucky Saint,2018,5.13,United Kingdom,01-Jan-2021,Early Stage VC,3.51,
Soul Tree Wine,2009,,United Kingdom,28-Feb-2020,Later Stage VC,,
The Funky Appliance Company,2016,0.26,United Kingdom,18-Feb-2021,Early Stage VC,,
TRUEinvivo,2014,1.45,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.05,
Well8<Truly,2015,1.14,United Kingdom,20-Jan-2020,Early Stage VC,0.5,
Finematter,2020,1.54,United Kingdom,20-Aug-2020,Seed Round,1.54,
Paperclip (Information Services (B...,2014,1.89,United Kingdom,12-May-2021,Later Stage VC,0.33,
Raylo,2018,17.25,United Kingdom,29-Mar-2021,Seed Round,1.47,
WhereWolf,2016,0.68,United Kingdom,,Early Stage VC,,
Lollipop (Application Software),2020,0.75,United Kingdom,15-Dec-2020,Early Stage VC,0.75,
Pouring Pounds,2011,14.01,United Kingdom,14-Sep-2020,Later Stage VC,7.77,
WeGift,2014,14.97,United Kingdom,25-NOV-2020,Early Stage VC,12.65,
Bloom & Wild,2013,99.57,United Kingdom,31-Dec-2020,Later Stage VC,75.27,
FLOWERBX,2014,9.77,United Kingdom,01-Jun-2020,Angel,3.04,
Qrator,2011,0.58,United Kingdom,04-Sep-2020,Secondary Tr...,,
Snap Vision,2011,2.76,United Kingdom,29-Jan-2020,Angel,,
Magway,2017,3.74,United Kingdom,07-May-2021,Early Stage VC,3.37,
HubbleHQ,2013,10.17,United Kingdom,25-Aug-2020,Later Stage VC,,
Lyvly,2015,9.47,United Kingdom,01-Jun-2020,Later Stage VC,1.36,
Sparkinity,2017,0.03,United Kingdom,09-Jun-2020,Accelerator/Incubator,,
NearSt,2015,4.29,United Kingdom,04-Jan-2021,Seed Round,2,
Scurri,2010,7.17,United Kingdom,30-Jun-2020,Later Stage VC,1.35,
The Moving Home Warehouse,2015,0.6,United Kingdom,01-Apr-2021,Later Stage VC,0.12,
9plus1,2016,0.6,United Kingdom,17-Aug-2020,Angel,0.1,
Arroe,2016,0.86,United Kingdom,04-Feb-2021,Equity Crowdfunding,0.68,
Artfinder,2010,9.47,United Kingdom,30-0ct-2020,Angel,1.2,
Festicket,2012,35.76,United Kingdom,03-Jan-2020,Later Stage VC,3,76.48
Fy!,2014,8.55,United Kingdom,15-Mar-2021,Later Stage VC,5,
Kano,2013,53.67,United Kingdom,01-Mar-2021,Later Stage VC,11.16,
Loopster (Clothing),2017,0.4,United Kingdom,29-Jun-2020,Seed Round,0.36,
Love the Sales,2013,1.44,United Kingdom,20-Sep-2020,Later Stage VC,0.73,
LoveCrafts,2010,68.94,United Kingdom,24-Dec-2020,Later Stage VC,21.12,
Marcel Art App,2018,1.07,United Kingdom,17-NOV-2020,Early Stage VC,0.58,
Mr Lee's Noodles,2015,5.82,United Kingdom,12-Aug-2020,Early Stage VC,2.41,
MyBaker,2015,0.02,United Kingdom,07-Jul-2020,Merger/Acqui...,,
OnBuy.com,2014,12.68,United Kingdom,08-Jul-2020,Later Stage VC,5,
Pesky Fish,2016,1.77,United Kingdom,18-Dec-2020,Angel,0.26,
Pollen (Information Services),2014,80.6,United Kingdom,01-Jan-2020,Later Stage VC,,
PurrfectlyYappy.com,2016,,United Kingdom,08-Apr-2020,Early Stage VC,,
Rentuu,2017,2.8,United Kingdom,12-0ct-2020,Equity Crowdfunding,0.47,
Shackleton (Internet Retail),2010,2.19,United Kingdom,01-Apr-2021,Later Stage VC,0.65,
StarStock,2012,10.71,United Kingdom,21-Feb-2020,Later Stage VC,2.27,
Troubadour (Accessories),2011,1.61,United Kingdom,11-May-2020,Equity Crowdfunding,0.62,
Vinterior,2015,4.26,United Kingdom,16-Mar-2020,Early Stage VC,1.5,
Azoomee,2014,6.72,United Kingdom,09-Apr-2020,Equity Crowdfunding,0.7,
BBC Maestro,2019,4.33,United Kingdom,02-Feb-2021,Early Stage VC,2.64,
Caper (Entertainment Software),2020,0.3,United Kingdom,24-Aug-2020,Seed Round,0.3,
Chatta,2013,0.25,United Kingdom,20-Apr-2020,Later Stage VC,0.25,
CoGrammar,2012,0.74,United Kingdom,19-Feb-2021,Equity Crowdfunding,2,1
Dormapp,2020,0.75,United Kingdom,10-Jun-2020,Seed Round,0.75,
Eedi (Educational Software),2014,7.05,United Kingdom,06-Mar-2020,Later Stage VC,6,
Fourthrev,2019,2.75,United Kingdom,,Early Stage VC,,
Gluu (Education and Training Serv...,2016,0.1,United Kingdom,,Debt - General,0.1,
Guide Education,2015,7.7,United Kingdom,31-Mar-2021,Seed Round,6,0.74
kinderly,2013,1.47,United Kingdom,03-Feb-2020,Later Stage VC,0.3,
Sales Impact Academy,2019,,United Kingdom,12-Mar-2020,Seed Round,,
Scoodle,2016,1.17,United Kingdom,10-Jan-2020,Seed Round,0.58,
The Intern Group,2011,0.79,United Kingdom,15-0ct-2020,Seed Round,0.76,
Valenture Institute,2019,5.33,United Kingdom,16-Sep-2020,Early Stage VC,5.33,
Virtual Internships,2018,0.17,United Kingdom,17-0ct-2020,Seed Round,,
VuePay,2017,0.43,United Kingdom,27-Apr-2020,Seed Round,0.2,
Optimize,2016,0.06,United Kingdom,09-Dec-2020,Early Stage VC,0.06,
Ethical Angel,2017,1.38,United Kingdom,06-NOV-2020,Seed Round,0.66,
Mwabu,2010,6.81,United Kingdom,30-Sep-2020,Early Stage VC,0.23,
iNSTRUCKO,2020,0.17,United Kingdom,04-Dec-2020,Seed Round,0.17,
IntellectoKids,2016,3.03,United Kingdom,14-Dec-2020,Early Stage VC,2.25,
Perlego,2016,17.15,United Kingdom,15-Apr-2021,Early Stage VC,5.83,
Poncho (Entertainment Software),2020,0.69,United Kingdom,01-Nov-2020,Early Stage VC,0.69,
Tiney,2018,7.79,United Kingdom,10-Feb-2020,Early Stage VC,5,
EduMe (Education and Training Ser...,2015,5.94,United Kingdom,30-JUI-2020,Later Stage VC,3.89,
Aula,2014,5.16,United Kingdom,18-May-2020,Seed Round,1.59,
Kuato Studios,2011,4.5,United Kingdom,18-Dec-2020,Seed Round,4.5,
Lingumi,2015,5.72,United Kingdom,01-Apr-2020,Early Stage VC,4,
MyTutor,2013,13.74,United Kingdom,16-Jun-2020,Later Stage VC,3.94,
Zzish,2013,2.94,United Kingdom,26-Feb-2021,Later Stage VC,0.49,
Stitch & Story,2012,2.12,United Kingdom,10-Sep-2020,Later Stage VC,1,
Unibuddy,2015,8.96,United Kingdom,,Later Stage VC,,
Developing Experts,2015,1.59,United Kingdom,13-Jan-2020,Early Stage VC,0.29,
Empiribox,2012,4.93,United Kingdom,29-Apr-2020,Later Stage VC,2,
Klik2Learn,2010,0.53,United Kingdom,15-Dec-2020,Grant,0.09,
MusicGurus,2014,0.45,United Kingdom,14-0ct-2020,Later Stage VC,0.32,
Pobble,2013,2.06,United Kingdom,01-Jan-2020,Grant,0.1,
School of Code,2015,0.22,United Kingdom,26-Apr-2021,Angel,0.14,
Third Space Learning,2012,12.28,United Kingdom,15-0ct-2020,Later Stage VC,1.51,
We are Digital,2012,2.72,United Kingdom,30-Jul-2020,Later Stage VC,0.75,
Wonde,2013,3.38,United Kingdom,,Secondary Tr...,,
MEL Science,2015,19.53,United Kingdom,01-Dec-2020,Later Stage VC,10.37,
Musemio,2018,0.28,United Kingdom,30-Jun-2020,Grant,0.05,
Oxford Medical Simulation,2017,3.47,United Kingdom,24-Jul-2020,Early Stage VC,1.11,
F2K,2015,0.76,United Kingdom,15-Jan-2021,Early Stage VC,0.74,
Super League Triathlon,2017,16.21,United Kingdom,,Early Stage VC,7.09,0.78
Playwaze,2012,0.8,United Kingdom,14-Aug-2020,Later Stage VC,0.4,
Midnite (Entertainment Software),2015,7.21,United Kingdom,19-Aug-2020,Later Stage VC,2.44,
Sportside,2015,15.41,United Kingdom,27-JUI-2020,Later Stage VC,15,
Alva (Information Services),2019,1,United Kingdom,22-May-2020,Seed Round,1,
Callaly,2014,10.8,United Kingdom,OS-Nov-2020,Grant,0.17,
Selfish Darling,2018,0.15,United Kingdom,01-Dec-2020,Seed Round,0.15,
Syrona Health,2018,0.53,United Kingdom,31-Aug-2020,Early Stage VC,0.51,
TOTM,2015,2.72,United Kingdom,13-Mar-2020,Equity Crowdfunding,0.83,
Peanut,2016,17.32,United Kingdom,06-May-2020,Early Stage VC,9.65,
AlphaStream,2015,0.07,United Kingdom,01-Jan-2020,Later Stage VC,0.07,
Assetz Capital,2012,0.37,United Kingdom,22-NOV-2019,Later Stage VC,0.05,
Automated Regulatory Monitoring,2019,0.04,United Kingdom,11-Sep-2020,Seed Round,,
B-North,2017,30.34,United Kingdom,08-Jan-2021,Early Stage VC,20,0
Banked,2018,6.85,United Kingdom,06-May-2020,Seed Round,2.35,
BITE Investments,2018,4.21,United Kingdom,20-Apr-2021,Early Stage VC,,
Bondi 80,2019,0.22,United Kingdom,20-Jul-2020,Early Stage VC,0.19,
Canaree,2019,0.35,United Kingdom,25-Jun-2020,Early Stage VC,0.2,
Clara,2018,0.03,United Kingdom,01-Jan-2020,Seed Round,,9.36
Cocoon (Financial Software),2019,0.14,United Kingdom,22-Apr-2020,Early Stage VC,0.14,
Cushon,2014,33,United Kingdom,02-Jun-2021,Later Stage VC,26,
Delio,2014,4.62,United Kingdom,01-Feb-2021,Later Stage VC,3.2,
ENIAN,2015,1.44,United Kingdom,30-NOV-2020,Grant,0.5,
fastPAYE,2019,,United Kingdom,26-Jan-2020,Early Stage VC,,
Fiinu,2017,2.9,United Kingdom,22-Oct-2020,Seed Round,0.8,
Fleximize,2013,25.66,United Kingdom,20-Mar-2020,Later Stage VC,2.5,
Fronted,2019,0.5,United Kingdom,10-May-2021,Early Stage VC,1,
Fund Ourselves,2015,0.39,United Kingdom,01-Jan-2020,Early Stage VC,,
Funding Xchange,2014,18.53,United Kingdom,17-Sep-2020,Later Stage VC,15.7,
Genuine Impact,2018,0.5,United Kingdom,01-Nov-2020,Equity Crowdfunding,0.92,
Gr4vy,2020,8.85,United Kingdom,29-Apr-2021,Early Stage VC,8.03,
Griffin (Financial Software),2017,9.64,United Kingdom,16-NOV-2020,Early Stage VC,6.52,
Hi55 Ventures,2020,2.78,United Kingdom,31-Mar-2021,Early Stage VC,,
Husky (Financial Software),2012,5,United Kingdom,29-May-2020,Equity Crowdfunding,0.43,
ilumoni,2019,1.73,United Kingdom,13-May-2021,Early Stage VC,1.28,
Invluencer,2019,0.3,United Kingdom,,Seed Round,0.1,
IslamicMarkets,2009,0.86,United Kingdom,IO-Jul-2020,Later Stage VC,0.57,
Lenderwize,2015,1.65,United Kingdom,06-Apr-2021,Equity Crowdfunding,0.25,
Levantor,2014,1.85,United Kingdom,28-Feb-2020,Later Stage VC,1.85,
Monument (National Banks),2017,52,United Kingdom,24-Feb-2021,Early Stage VC,28,
OakNorth Bank,2013,633.27,United Kingdom,19-NOV-2020,Secondary Tr...,22.92,175.45
Otto Finance,2020,0.5,United Kingdom,20-NOV-2020,Early Stage VC,0.5,
Outfund,2017,2.51,United Kingdom,08-Dec-2020,Seed Round,37,
Paid,2017,2.32,United Kingdom,12-NOV-2020,Seed Round,2.2,
Phos,2018,2.7,United Kingdom,17-Mar-2021,Early Stage VC,1.62,
pirkx,2018,0.96,United Kingdom,10-Jun-2020,Seed Round,0.96,
Primer,2019,17.92,United Kingdom,29-NOV-2020,Early Stage VC,14.1,
Project Imagine,2018,13.91,United Kingdom,01-Feb-2020,Early Stage VC,10.41,0.02
Purely Capital,2018,1.5,United Kingdom,11-Mar-2020,Early Stage VC,,
Radix DLT,2013,16.13,United Kingdom,29-Oct-2020,Later Stage VC,9.82,
Roster (Business/Productivity Soft...,2019,0.16,United Kingdom,13-Jan-2020,Accelerator/Incubator,0.07,
Salary Finance,2015,112.04,United Kingdom,16-Dec-2020,Later Stage VC,20,
Seawise Capital,2018,1.18,United Kingdom,01-Dec-2020,Debt - General,,
Seedrs,2009,38.4,United Kingdom,25-Mar-2021,Later Stage VC,,
Silverbird,2019,,United Kingdom,01-Jan-2021,Early Stage VC,,
Soldo,2015,73.76,United Kingdom,11-Sep-2020,Later Stage VC,8.99,
SumoPay,2020,,United Kingdom,01-Jan-2020,Early Stage VC,,
Trad3r,2016,1.53,United Kingdom,01-Feb-2020,Seed Round,1.53,
Uncapped,2019,29.89,United Kingdom,20-May-2021,Early Stage VC,57.26,
Unizest,2015,0.1,United Kingdom,01-Apr-2021,Restart - Late...,0.1,
Updraft,2017,0.7,United Kingdom,03-Dec-2020,Early Stage VC,16,
VALK,2019,1.02,United Kingdom,01-Oct-2020,Seed Round,1.02,
Vauban,2018,5.79,United Kingdom,06-May-2021,Early Stage VC,4.83,
Volt (Financial Software),2019,3.1,United Kingdom,01-Dec-2020,Early Stage VC,2.1,
WealthKernel,2015,5.46,United Kingdom,21-Jan-2020,Early Stage VC,4.5,
Weavr,2018,6.71,United Kingdom,25-NOV-2020,Seed Round,3.05,
Wollit,2017,1,United Kingdom,21-Feb-2020,Seed Round,1,
Zenfinex,2017,5,United Kingdom,19-Aug-2020,Early Stage VC,5,
Zilch,2018,89.03,United Kingdom,19-Apr-2021,Early Stage VC,58.03,
Edge (Financial Software),2018,1.78,United Kingdom,06-NOV-2020,Early Stage VC,1.15,
PlayerLands,2017,0.4,United Kingdom,11-Aug-2020,Early Stage VC,0.2,
Dopay,2011,8.39,United Kingdom,01-Jan-2020,Later Stage VC,,
Rest Less,2018,3.69,United Kingdom,09-Mar-2020,Seed Round,3,
Tickr (Financial Software),2017,5.52,United Kingdom,05-Feb-2021,Early Stage VC,2.5,
Aazzur,2017,1.59,United Kingdom,28-Apr-2020,Accelerator/Incubator,,
BirdsEyeView Technologies,2019,0.25,United Kingdom,Expected      31 -Dec-2021,Seed Round,1.42,
DeadHappy,2013,5.5,United Kingdom,09-0ct-2020,Equity Crowdfunding,4.5,
Equipsme,2017,3.95,United Kingdom,,Later Stage VC,3,
Rightlndem,2015,3.85,United Kingdom,14-Sep-2020,Early Stage VC,0.58,
Supercede,2019,2.63,United Kingdom,31-Jul-2020,Early Stage VC,2,
Tapoly,2016,0.76,United Kingdom,24-Jan-2020,Early Stage VC,2,
Canopy (Insurance),2016,10.76,United Kingdom,17-Dec-2020,Grant,0.1,
Honcho Markets,2014,3.88,United Kingdom,30-Sep-2020,Angel,0.23,
Urban Jungle,2016,14.22,United Kingdom,01-Aug-2020,Early Stage VC,8,
Wrisk,2016,13.85,United Kingdom,17-May-2021,Later Stage VC,4.85,
artificial.,2013,7.32,United Kingdom,01-Sep-2020,Later Stage VC,,
Collision Management Systems,2012,2.63,United Kingdom,07-Feb-2020,Later Stage VC,,
Konsileo,2015,6.55,United Kingdom,13-Apr-2021,Later Stage VC,0.62,
Laka,2017,4.72,United Kingdom,01-Jan-2021,Early Stage VC,,
Marshmallow,2017,26.8,United Kingdom,02-NOV-2020,Early Stage VC,21.62,
Superscript,2014,19.38,United Kingdom,29-Oct-2020,Later Stage VC,8.5,
Fingo,2012,10.32,United Kingdom,29-JUI-2020,Later Stage VC,4.86,
Pipit Global,2013,0.9,United Kingdom,Expected      31 -Dec-2021,Later Stage VC,1.72,0.05
Fa re will,2015,30.26,United Kingdom,08-Jul-2020,Early Stage VC,22.1,
Crowdjustice,2015,7.07,United Kingdom,12-Mar-2021,Later Stage VC,5.03,
Yimba,2019,0.86,United Kingdom,06-Apr-2021,Early Stage VC,0.34,
Akrod,2019,13.3,United Kingdom,01-Jul-2020,Early Stage VC,7,
Caura (Financial Software),2018,2.13,United Kingdom,05-Jan-2021,Early Stage VC,0.44,
Karma,2018,15.55,United Kingdom,27-Apr-2020,Early Stage VC,15,
Longevity Card,2020,,United Kingdom,11-Feb-2021,Equity Crowdfunding,0.26,
Mintage,2019,0.63,United Kingdom,16-0ct-2020,Seed Round,0.63,
MoneeMint,2016,0.55,United Kingdom,01-Jan-2020,Early Stage VC,0.55,
Pomelo Pay,2017,2.1,United Kingdom,01-Dec-2020,Seed Round,2.1,
PrimaryBid,2012,48.73,United Kingdom,27-Oct-2020,Later Stage VC,38.58,
Refund Giant,2019,,United Kingdom,18-Mar-2020,Accelerator/Incubator,0.1,
Starling Bank,2014,575.02,United Kingdom,,Merger/Acqui...,,
SteadyPay,2017,3.02,United Kingdom,21-Jan-2020,Seed Round,3,
Tillit,2019,1.02,United Kingdom,02-0ct-2020,Seed Round,1.02,
Checkout.com,2012,630.19,United Kingdom,12-Jan-2021,Later Stage VC,333.34,
Payhawk,2018,17.59,United Kingdom,19-Apr-2021,Early Stage VC,14.51,
Rezolve,2016,21.55,United Kingdom,16-Mar-2021,Angel,14.35,
Flux (Financial Software),2015,10.24,United Kingdom,06-0ct-2020,Later Stage VC,3,
Glint,2015,8.2,United Kingdom,31-Mar-2021,Equity Crowdfunding,1.03,
